t,inserted_total,pending,running,done,claim_ms
1,300,200,0,100,549.842000000
2,600,400,0,200,157.852000000
3,900,600,0,300,223.062000000
4,1200,800,0,400,162.435000000
5,1500,1000,0,500,162.110000000
6,1800,1200,0,600,191.071000000
7,2100,1400,0,700,198.134000000
8,2400,1600,0,800,207.433000000
9,2700,1800,0,900,185.651000000
10,3000,2000,0,1000,196.959000000
11,3300,2200,0,1100,199.160000000
12,3600,2400,0,1200,215.881000000
13,3900,2600,0,1300,205.830000000
14,4200,2800,0,1400,174.220000000
15,4500,3000,0,1500,140.390000000
