elapsed_s,pending,claims_per_s,n_dead_tup,n_live_tup,table_bytes,last_autovacuum
30,0,6667,857360,198750,69730304,19:51:31
60,0,0,2057360,198750,117334016,19:51:31
90,0,0,1218990,199987,129957888,19:52:32
120,58040,-1935,2349190,199987,132882432,19:52:32
150,0,1935,800000,200000,132882432,19:53:32
180,0,0,2000000,200000,133242880,19:53:32
211,0,0,1008682,200000,134471680,19:54:31
241,22190,-740,2164812,200000,134488064,19:54:31
271,136390,-3807,1007740,200000,134488064,19:55:32
301,0,4546,2000000,200000,134610944,19:55:32
331,0,0,978903,190797,135684096,19:56:32
361,0,0,2178903,190797,135684096,19:56:32
391,63370,-2112,1129150,200000,135700480,19:57:32
421,0,2112,2000000,200000,135700480,19:57:32
451,0,0,907753,191030,135700480,19:58:31
